id,route,flight_class,days_to_departure,total_seats,booked_seats,remaining_seats,current_price,base_fare,booking_date,time_of_day,day_of_week,is_weekend,is_holiday_window,petrol_price,diesel_price,usd_to_pkr,competitor_min_price,competitor_avg_price,price_vs_competitor_ratio,competitor_data_is_real,demand_ratio
45011,LHE-ISB,Economy,61,180,89,91,16398.37,15096.179715825576,2026-07-01,11,0,0,0,330.6604511603787,393.0585771687582,271.0586280857421,,,,False,0.49444444444444446
45012,LHE-ISB,Economy,74,180,97,83,12142.49,15096.179715825576,2026-07-01,12,6,1,0,335.90638992699996,388.43043443240765,286.6277109084079,,,,False,0.5388888888888889
45013,KHI-LHE,Economy,29,180,145,35,9084.17,14965.685953399905,2026-07-01,13,3,0,0,331.4487846012213,383.23463986612273,277.5441003645848,7485.0,8569.0,1.0601202007235384,True,0.8055555555555556
45014,KHI-DXB,Economy,30,180,99,81,40878.96,44837.94581975072,2026-07-01,14,4,0,0,335.1279426831722,386.87144416588393,278.302838878845,,,,False,0.55
45015,KHI-DXB,Economy,28,180,126,54,39405.04,44837.94581975072,2026-07-01,15,2,0,0,344.299882830236,386.7951488500135,275.29638322259837,,,,False,0.7
45016,KHI-ISB,Economy,30,180,38,142,21593.5,14814.069359582543,2026-07-01,16,4,0,0,335.04272206902607,385.5491853243612,284.6095368548837,7432.0,29077.333333333332,0.7426231199559795,True,0.2111111111111111
45017,KHI-ISB,Economy,57,180,34,146,18579.48,14814.069359582543,2026-07-01,17,3,0,1,334.43144971252036,381.8137599950684,280.76762535403117,7432.0,29077.333333333332,0.6389678099779897,True,0.18888888888888888
45018,KHI-DXB,Economy,49,180,99,81,33842.73,44837.94581975072,2026-07-01,18,2,0,0,340.330129302384,384.0094447386633,285.09401746961936,,,,False,0.55
45019,LHE-ISB,Business,21,180,53,127,45637.25,42494.91089800444,2026-07-01,19,2,0,0,343.4810214057533,377.2401577776928,268.48041140793987,,,,False,0.29444444444444445
45020,KHI-DXB,Business,18,180,144,36,80999.41,110639.33540295118,2026-07-01,20,6,1,0,338.5447318467898,393.1156257989811,280.15741832475123,,,,False,0.8
45021,KHI-LHE,Economy,37,180,104,76,13704.09,14965.685953399905,2026-07-01,21,4,0,0,342.39195530955993,376.82420458677643,271.42607750513463,7485.0,8569.0,1.5992636246936631,True,0.5777777777777777
45022,LHE-ISB,Economy,56,180,151,29,11422.17,15096.179715825576,2026-07-01,22,2,0,1,331.1742153778355,382.7408625975006,268.12726865637023,,,,False,0.8388888888888889
45023,KHI-DXB,Economy,6,180,68,112,43007.43,44837.94581975072,2026-07-01,23,1,0,0,339.7457295895004,392.7802943902684,281.2315729293838,,,,False,0.37777777777777777
45024,KHI-ISB,Economy,12,180,71,109,15067.03,14814.069359582543,2026-07-01,0,0,0,0,340.600463645925,380.79420789872046,268.0726510425965,7432.0,29077.333333333332,0.518170969369039,True,0.39444444444444443
45025,KHI-ISB,Business,15,180,57,123,48778.9,42435.13461851475,2026-07-01,1,3,0,0,342.41475659464186,381.83848257099226,276.24366349230326,7432.0,29077.333333333332,1.6775575476889215,True,0.31666666666666665
45026,KHI-DXB,Business,29,180,136,44,78221.61,110639.33540295118,2026-07-01,2,3,0,0,338.27744796835384,375.4031125636953,274.71015484256003,,,,False,0.7555555555555555
45027,KHI-LHE,Business,26,180,115,65,31648.49,42157.36867324561,2026-07-01,3,0,0,0,340.9931760681001,393.35919561983934,286.01857989072346,7485.0,8569.0,3.693370288248337,True,0.6388888888888888
45028,LHE-ISB,Economy,8,180,84,96,18788.0,15096.179715825576,2026-07-01,4,3,0,0,331.7659605338186,375.213016641936,281.98026713315755,,,,False,0.4666666666666667
45029,KHI-LHE,Economy,10,180,87,93,8787.41,14965.685953399905,2026-07-01,5,5,1,0,326.6454599555828,389.297259642676,272.1108955650825,7485.0,8569.0,1.0254883883767067,True,0.48333333333333334
45030,LHE-ISB,Economy,7,180,134,46,10755.55,15096.179715825576,2026-07-01,6,2,0,0,344.17121760857145,385.34696246558326,275.5220122939578,,,,False,0.7444444444444445
45031,KHI-DXB,Economy,9,180,156,24,39142.39,44837.94581975072,2026-07-01,7,4,0,0,329.3632316363835,374.1118942780162,287.21120829669655,,,,False,0.8666666666666667
45032,KHI-PEW,Business,26,180,71,109,47892.13,42737.64187978142,2026-07-01,8,0,0,0,340.576556083741,384.74250471367833,286.1077107118394,,,,False,0.39444444444444443
45033,KHI-LHE,Economy,10,180,47,133,16267.26,14965.685953399905,2026-07-01,9,5,1,0,326.66294503930055,382.282298412811,278.0047518768681,7485.0,8569.0,1.8983848757147859,True,0.2611111111111111
45034,LHE-ISB,Economy,68,180,117,63,15415.85,15096.179715825576,2026-07-01,10,0,0,1,333.0541486405417,380.8058922685789,275.1149256651274,,,,False,0.65
45035,KHI-ISB,Economy,33,180,111,69,16942.56,14814.069359582543,2026-07-01,11,0,0,0,327.5749943246219,377.6158460760005,285.015724767205,7432.0,29077.333333333332,0.5826724137931035,True,0.6166666666666667
45036,KHI-PEW,Business,52,180,87,93,50551.26,42737.64187978142,2026-07-01,12,5,1,0,335.3556245447193,373.5290523534098,270.8652182034664,,,,False,0.48333333333333334
45037,KHI-PEW,Economy,7,180,31,149,21255.81,14966.173412276461,2026-07-01,13,2,0,0,326.6872885105831,385.86240313338175,273.75824226313057,,,,False,0.17222222222222222
45038,KHI-DXB,Economy,12,180,111,69,35987.57,44837.94581975072,2026-07-01,14,0,0,0,331.97408213090034,386.5869815664926,281.7081096479621,,,,False,0.6166666666666667
45039,LHE-ISB,Business,38,180,101,79,43946.3,42494.91089800444,2026-07-01,15,5,1,0,340.94169511288857,379.3852321681847,271.01814611189246,,,,False,0.5611111111111111
45040,KHI-LHE,Economy,20,180,102,78,10008.1,14965.685953399905,2026-07-01,16,1,0,0,329.5845722657275,391.3815011691164,279.32719531902165,7485.0,8569.0,1.1679425837320574,True,0.5666666666666667
45041,KHI-LHE,Economy,42,180,117,63,8531.08,14965.685953399905,2026-07-01,17,2,0,1,326.1170849285567,386.1755700227151,274.1662323347206,7485.0,8569.0,0.9955747461780838,True,0.65
45042,KHI-DXB,Economy,70,180,107,73,38305.44,44837.94581975072,2026-07-01,18,2,0,0,340.73944689813646,381.1656759596842,278.2272891689041,,,,False,0.5944444444444444
45043,KHI-PEW,Economy,59,180,64,116,13955.61,14966.173412276461,2026-07-01,19,5,1,0,338.3054820130128,384.89501995791795,281.8231224839769,,,,False,0.35555555555555557
45044,KHI-LHE,Economy,18,180,92,88,11701.72,14965.685953399905,2026-07-01,20,6,1,0,337.6368203860615,380.45886458582254,268.1359116915965,7485.0,8569.0,1.3655875831485587,True,0.5111111111111111
45045,KHI-LHE,Economy,6,180,149,31,12510.93,14965.685953399905,2026-07-01,21,1,0,0,340.953831822473,376.7976210513224,271.0623078586465,7485.0,8569.0,1.4600221729490022,True,0.8277777777777777
45046,KHI-ISB,Economy,28,180,92,88,9525.29,14814.069359582543,2026-07-01,22,2,0,0,330.82514275797007,390.0670308632157,275.87504013259235,7432.0,29077.333333333332,0.327584716617755,True,0.5111111111111111
45047,LHE-ISB,Economy,30,180,82,98,12285.26,15096.179715825576,2026-07-01,23,4,0,0,331.9368999785034,385.35965597186566,268.15462899179835,,,,False,0.45555555555555555
45048,KHI-PEW,Economy,37,180,36,144,19825.56,14966.173412276461,2026-07-01,0,4,0,0,330.21538042836863,378.9596256160461,281.1827712699183,,,,False,0.2
45049,LHE-ISB,Economy,23,180,111,69,11494.98,15096.179715825576,2026-07-01,1,4,0,0,337.4137874583969,389.664950158309,272.3242635718806,,,,False,0.6166666666666667
45050,KHI-DXB,Economy,21,180,153,27,38169.52,44837.94581975072,2026-07-01,2,2,0,0,332.65555410599467,377.7718638303856,284.47487898763916,,,,False,0.85
45051,KHI-ISB,Economy,40,180,65,115,17389.28,14814.069359582543,2026-07-01,3,0,0,0,330.4224054318272,379.4436457786677,279.8638115702825,7432.0,29077.333333333332,0.5980355832721936,True,0.3611111111111111
45052,KHI-LHE,Business,17,180,114,66,43369.5,42157.36867324561,2026-07-01,4,5,1,0,325.5951792739399,381.62764919256784,286.75023873337466,7485.0,8569.0,5.0612090092192785,True,0.6333333333333333
45053,KHI-DXB,Economy,23,180,102,78,38642.36,44837.94581975072,2026-07-01,5,4,0,0,333.2611968703318,375.5517406644582,283.59139526228506,,,,False,0.5666666666666667
45054,KHI-DXB,Economy,8,180,51,129,46940.39,44837.94581975072,2026-07-01,6,3,0,0,343.18987962764095,391.79727671434114,282.4504682142235,,,,False,0.2833333333333333
45055,KHI-LHE,Economy,29,180,127,53,15550.05,14965.685953399905,2026-07-01,7,3,0,0,333.906301499657,381.7157198376669,282.5220307076791,7485.0,8569.0,1.8146866612206791,True,0.7055555555555556
45056,KHI-ISB,Economy,16,180,162,18,8161.7,14814.069359582543,2026-07-01,8,4,0,0,332.469972395752,376.33613363922717,281.62854701639225,7432.0,29077.333333333332,0.28068942589875273,True,0.9
45057,KHI-LHE,Business,49,180,71,109,39548.64,42157.36867324561,2026-07-01,9,2,0,0,343.97939897265655,374.5538498573251,277.74629862935933,7485.0,8569.0,4.615315672773953,True,0.39444444444444443
45058,KHI-DXB,Economy,4,180,106,74,43533.26,44837.94581975072,2026-07-01,10,6,1,0,334.0131182280203,383.5682629325701,282.3045432159705,,,,False,0.5888888888888889
45059,LHE-ISB,Economy,32,180,82,98,12381.96,15096.179715825576,2026-07-01,11,6,1,0,328.9939415639171,390.59172966458675,267.91804021270855,,,,False,0.45555555555555555
45060,KHI-PEW,Business,63,180,105,75,49612.15,42737.64187978142,2026-07-01,12,2,0,0,343.96140985693756,391.2356220615992,274.77349111047835,,,,False,0.5833333333333334
45061,KHI-DXB,Economy,13,180,57,123,51411.35,44837.94581975072,2026-07-01,13,1,0,0,329.6227397730893,378.4674333062578,275.79034199422273,,,,False,0.31666666666666665
45062,KHI-LHE,Economy,8,180,49,131,20929.88,14965.685953399905,2026-07-01,14,3,0,0,333.0539725460409,374.90558186424795,268.24008752533433,7485.0,8569.0,2.44251137822383,True,0.2722222222222222
45063,KHI-DXB,Economy,2,180,117,63,42610.14,44837.94581975072,2026-07-01,15,4,0,0,328.4046389569819,378.72218985492265,282.3662125901412,,,,False,0.65
45064,KHI-LHE,Business,6,180,124,56,38567.77,42157.36867324561,2026-07-01,16,1,0,0,329.58231094685317,391.77720389129007,273.70335297785084,7485.0,8569.0,4.500848407048664,True,0.6888888888888889
45065,KHI-PEW,Economy,9,180,24,156,19702.96,14966.173412276461,2026-07-01,17,4,0,0,337.71526870579646,390.2808742397763,284.99610393036085,,,,False,0.13333333333333333
45066,LHE-ISB,Economy,30,180,116,64,10160.75,15096.179715825576,2026-07-01,18,4,0,0,328.95830278223343,379.9615464832543,268.94257838592193,,,,False,0.6444444444444445
45067,KHI-DXB,Business,15,180,116,64,114269.69,110639.33540295118,2026-07-01,19,3,0,0,326.4962863206425,380.6462540139421,269.1115165286842,,,,False,0.6444444444444445
45068,KHI-ISB,Business,24,180,134,46,40874.44,42435.13461851475,2026-07-01,20,5,1,0,343.47459202551056,376.117101102854,281.6167823464757,7432.0,29077.333333333332,1.4057148752751285,True,0.7444444444444445
45069,KHI-DXB,Economy,38,180,107,73,47280.86,44837.94581975072,2026-07-01,21,5,1,0,344.44803671316066,377.4324622034628,272.847225412235,,,,False,0.5944444444444444
45070,KHI-LHE,Economy,4,180,100,80,16285.73,14965.685953399905,2026-07-01,22,6,1,0,332.1096261181585,385.10597503542255,282.3191909880899,7485.0,8569.0,1.9005403197572646,True,0.5555555555555556
45071,KHI-PEW,Economy,8,180,113,67,12598.89,14966.173412276461,2026-07-01,23,3,0,0,341.087461034321,387.049738624598,271.7995804817342,,,,False,0.6277777777777778
45072,LHE-ISB,Business,34,180,83,97,48283.58,42494.91089800444,2026-07-01,0,1,0,0,335.513723025558,385.89882626743685,269.42814010127233,,,,False,0.46111111111111114
45073,KHI-LHE,Economy,37,180,94,86,8476.93,14965.685953399905,2026-07-01,1,4,0,0,339.55284594055763,386.893652361982,276.64365988894514,7485.0,8569.0,0.9892554557124519,True,0.5222222222222223
45074,KHI-ISB,Economy,37,180,68,112,21859.95,14814.069359582543,2026-07-01,2,4,0,0,336.271384527159,379.2972130446963,277.5217741936027,7432.0,29077.333333333332,0.7517866150036684,True,0.37777777777777777
45075,KHI-LHE,Economy,4,180,77,103,13450.96,14965.685953399905,2026-07-01,3,6,1,0,328.23259913155454,387.57547007158763,270.1887856525488,7485.0,8569.0,1.5697234216361302,True,0.42777777777777776
45076,KHI-LHE,Economy,40,180,85,95,10932.53,14965.685953399905,2026-07-01,4,0,0,0,333.7122977508149,384.0188600890643,279.4501725815544,7485.0,8569.0,1.275823316606372,True,0.4722222222222222
45077,KHI-ISB,Business,62,180,155,25,30503.7,42435.13461851475,2026-07-01,5,1,0,0,344.1540323229919,391.24356131975014,271.14925541611973,7432.0,29077.333333333332,1.0490542461482026,True,0.8611111111111112
45078,KHI-DXB,Business,64,180,81,99,148045.37,110639.33540295118,2026-07-01,6,3,0,0,333.3807691393118,373.9561428934312,286.5629884026581,,,,False,0.45
45079,LHE-ISB,Economy,36,180,27,153,20079.69,15096.179715825576,2026-07-01,7,3,0,0,325.3675698112914,382.15007347047106,270.19983443689625,,,,False,0.15
45080,KHI-ISB,Business,70,180,137,43,39179.43,42435.13461851475,2026-07-01,8,2,0,0,341.98767970376355,389.02381427994084,283.9266722877011,7432.0,29077.333333333332,1.3474217030447544,True,0.7611111111111111
45081,KHI-LHE,Economy,9,180,65,115,13098.51,14965.685953399905,2026-07-01,9,4,0,0,333.84466360000306,380.1115330360282,279.3066067882989,7485.0,8569.0,1.5285926012370172,True,0.3611111111111111
45082,KHI-PEW,Economy,6,180,86,94,14512.64,14966.173412276461,2026-07-01,10,1,0,0,340.2661895323174,380.3225686722514,275.51786431022083,,,,False,0.4777777777777778
45083,KHI-LHE,Economy,3,180,82,98,9902.2,14965.685953399905,2026-07-01,11,5,1,0,328.5648133040733,388.1849907543432,285.9005416791847,7485.0,8569.0,1.155584082156611,True,0.45555555555555555
45084,KHI-PEW,Economy,39,180,40,140,17170.37,14966.173412276461,2026-07-01,12,6,1,0,345.04735987823705,393.332502804342,272.09447616108275,,,,False,0.2222222222222222
45085,KHI-ISB,Economy,63,180,97,83,20723.73,14814.069359582543,2026-07-01,13,2,0,0,333.5164605920514,379.8534595548492,287.56189656237734,7432.0,29077.333333333332,0.712710817131328,True,0.5388888888888889
45086,KHI-LHE,Economy,33,180,115,65,12590.76,14965.685953399905,2026-07-01,14,0,0,0,338.2806995779595,390.98951888063414,280.64677749512936,7485.0,8569.0,1.4693383125218813,True,0.6388888888888888
45087,KHI-DXB,Business,9,180,54,126,144152.2,110639.33540295118,2026-07-01,15,4,0,0,333.8226106508468,389.92128191294233,271.3972315794134,,,,False,0.3
45088,KHI-ISB,Economy,12,180,110,70,8753.83,14814.069359582543,2026-07-01,16,0,0,0,325.4997814889932,374.5643800795976,277.05471062301365,7432.0,29077.333333333332,0.30105339783565666,True,0.6111111111111112
45089,LHE-ISB,Economy,47,180,36,144,21019.94,15096.179715825576,2026-07-01,17,0,0,0,342.2788750747457,377.2740383389475,273.5508552204175,,,,False,0.2
45090,KHI-PEW,Business,56,180,112,68,26906.6,42737.64187978142,2026-07-01,18,2,0,1,330.0035099900049,390.81703180355885,279.8030001513986,,,,False,0.6222222222222222
45091,KHI-ISB,Economy,39,180,110,70,8366.37,14814.069359582543,2026-07-01,19,6,1,0,334.1850502450068,380.60501592458553,273.4271753492217,7432.0,29077.333333333332,0.2877282419295672,True,0.6111111111111112
45092,KHI-DXB,Economy,15,180,125,55,42792.92,44837.94581975072,2026-07-01,20,3,0,0,344.6539979572225,373.60968930847395,278.204310125006,,,,False,0.6944444444444444
45093,KHI-LHE,Economy,5,180,104,76,11069.32,14965.685953399905,2026-07-01,21,0,0,0,330.86161490784156,378.5267945274677,279.74319320682275,7485.0,8569.0,1.2917866728906524,True,0.5777777777777777
45094,KHI-LHE,Economy,67,180,147,33,10281.18,14965.685953399905,2026-07-01,22,6,1,1,329.516106775984,389.31770823380697,283.79157051811893,7485.0,8569.0,1.1998109464348232,True,0.8166666666666667
45095,KHI-LHE,Economy,30,180,88,92,20794.85,14965.685953399905,2026-07-01,23,4,0,0,345.0883175833577,387.1123617755496,272.4889897542992,7485.0,8569.0,2.4267534134671487,True,0.4888888888888889
45096,LHE-ISB,Business,38,180,107,73,47858.04,42494.91089800444,2026-07-01,0,5,1,0,330.0156474683249,384.66766760212886,269.2220747761601,,,,False,0.5944444444444444
45097,KHI-ISB,Economy,40,180,154,26,10014.39,14814.069359582543,2026-07-01,1,0,0,0,337.0206996532883,373.7283324377941,275.6452650255377,7432.0,29077.333333333332,0.34440537876008803,True,0.8555555555555555
45098,KHI-DXB,Economy,7,180,131,49,42667.78,44837.94581975072,2026-07-01,2,2,0,0,332.9758315378376,381.02378919532504,278.0342810806514,,,,False,0.7277777777777777
45099,KHI-PEW,Economy,61,180,71,109,14300.64,14966.173412276461,2026-07-01,3,0,0,0,340.58997942821634,384.5957823939528,279.1621980866036,,,,False,0.39444444444444443
45100,KHI-PEW,Economy,2,180,47,133,16291.48,14966.173412276461,2026-07-01,4,4,0,0,344.658748584043,383.7192616401827,280.6772658043309,,,,False,0.2611111111111111
45101,KHI-LHE,Economy,49,180,83,97,16942.83,14965.685953399905,2026-07-01,5,2,0,0,344.10464373455176,375.46099720498256,275.0462825590869,7485.0,8569.0,1.9772237133854593,True,0.46111111111111114
45102,KHI-ISB,Economy,17,180,160,20,8707.19,14814.069359582543,2026-07-01,6,5,1,0,327.1328577814609,385.75724638252655,268.4792958642808,7432.0,29077.333333333332,0.2994493993030081,True,0.8888888888888888
45103,KHI-PEW,Economy,18,180,74,106,19367.22,14966.173412276461,2026-07-01,7,6,1,0,340.9616446431206,386.95343491040796,280.95992678004797,,,,False,0.4111111111111111
45104,KHI-DXB,Economy,38,180,66,114,51688.9,44837.94581975072,2026-07-01,8,5,1,0,329.2433101323863,381.64167644080163,277.5446226885782,,,,False,0.36666666666666664
45105,KHI-DXB,Business,60,180,116,64,94575.24,110639.33540295118,2026-07-01,9,6,1,0,328.7518439811499,374.282695907734,271.41434793537815,,,,False,0.6444444444444445
45106,KHI-PEW,Economy,46,180,93,87,11741.37,14966.173412276461,2026-07-01,10,6,1,1,330.15557883134744,383.40320255726834,284.6852106491487,,,,False,0.5166666666666667
45107,KHI-DXB,Business,15,180,103,77,126757.01,110639.33540295118,2026-07-01,11,3,0,0,336.4075400547637,377.67692225974866,267.92469087114927,,,,False,0.5722222222222222
45108,KHI-DXB,Economy,3,180,60,120,52543.59,44837.94581975072,2026-07-01,12,5,1,0,326.48106321453974,384.3765186120855,281.781062059355,,,,False,0.3333333333333333
45109,KHI-DXB,Economy,58,180,143,37,36558.68,44837.94581975072,2026-07-01,13,4,0,0,340.2107223505304,389.28140123633875,280.634061914067,,,,False,0.7944444444444444
45110,LHE-ISB,Economy,19,180,68,112,15838.4,15096.179715825576,2026-07-01,14,0,0,0,342.2997759349926,391.4925167720678,281.4540570858926,,,,False,0.37777777777777777
45111,LHE-ISB,Business,47,180,141,39,29421.7,42494.91089800444,2026-07-01,15,0,0,0,340.0653779197338,377.6643491732762,275.5584832651067,,,,False,0.7833333333333333
45112,KHI-LHE,Economy,31,180,47,133,21574.41,14965.685953399905,2026-07-01,16,5,1,0,326.7747976314767,391.7046662517939,278.32854822442715,7485.0,8569.0,2.517727856225931,True,0.2611111111111111
45113,KHI-DXB,Business,61,180,48,132,125175.39,110639.33540295118,2026-07-01,17,0,0,0,326.3410558400313,387.1732981254191,274.45842758374306,,,,False,0.26666666666666666
45114,LHE-ISB,Economy,5,180,163,17,8089.96,15096.179715825576,2026-07-01,18,0,0,0,337.3632687428676,384.20569717526234,276.02152072396325,,,,False,0.9055555555555556
45115,KHI-PEW,Economy,4,180,103,77,12718.86,14966.173412276461,2026-07-01,19,6,1,0,343.23645843163956,374.72973737579997,273.8023847462723,,,,False,0.5722222222222222
45116,KHI-PEW,Economy,6,180,139,41,10958.66,14966.173412276461,2026-07-01,20,1,0,0,328.3513754344366,392.4844023153161,271.1539077325612,,,,False,0.7722222222222223
45117,KHI-PEW,Business,47,180,101,79,50736.51,42737.64187978142,2026-07-01,21,0,0,0,335.04757759340686,391.62957752079797,269.0668287151708,,,,False,0.5611111111111111
45118,LHE-ISB,Business,7,180,131,49,35836.17,42494.91089800444,2026-07-01,22,2,0,0,343.9641055005397,382.51087763444474,275.72272592340204,,,,False,0.7277777777777777
45119,KHI-PEW,Business,10,180,99,81,33284.35,42737.64187978142,2026-07-01,23,5,1,0,336.1309371412585,384.50003458863654,286.43425814839014,,,,False,0.55
45120,KHI-ISB,Economy,88,180,106,74,14313.44,14814.069359582543,2026-07-01,0,6,1,0,335.31563552133986,390.99268867150096,274.45900924109986,7432.0,29077.333333333332,0.4922542186353632,True,0.5888888888888889
45121,KHI-DXB,Economy,10,180,44,136,48803.85,44837.94581975072,2026-07-01,1,5,1,0,331.38612107135174,375.03870147154925,272.5202184375315,,,,False,0.24444444444444444
45122,LHE-ISB,Business,24,180,94,86,50842.0,42494.91089800444,2026-07-01,2,5,1,0,325.7055727650598,387.4672272653135,271.18486234467736,,,,False,0.5222222222222223
45123,LHE-ISB,Business,20,180,85,95,31283.6,42494.91089800444,2026-07-01,3,1,0,0,326.24811459027393,388.01394635051247,279.32768680565323,,,,False,0.4722222222222222
45124,LHE-ISB,Business,15,180,37,143,49488.57,42494.91089800444,2026-07-01,4,3,0,0,343.53151598214276,381.9972605635902,283.8335622615295,,,,False,0.20555555555555555
45125,KHI-LHE,Business,38,180,98,82,55485.88,42157.36867324561,2026-07-01,5,5,1,0,333.74906770115064,379.4705308094083,271.3114409109568,7485.0,8569.0,6.475187303069203,True,0.5444444444444444
45126,KHI-LHE,Business,32,180,103,77,37335.02,42157.36867324561,2026-07-01,6,6,1,0,337.9107843065393,378.2010515222728,282.3059726598452,7485.0,8569.0,4.35698681293033,True,0.5722222222222222
45127,KHI-PEW,Economy,56,180,78,102,16875.51,14966.173412276461,2026-07-01,7,2,0,1,325.7863703286141,390.43516464197523,274.55066342957394,,,,False,0.43333333333333335
45128,LHE-ISB,Business,10,180,94,86,53414.93,42494.91089800444,2026-07-01,8,5,1,0,337.4786246086321,374.91164242218167,281.19910935087387,,,,False,0.5222222222222223
45129,KHI-DXB,Economy,49,180,67,113,51539.58,44837.94581975072,2026-07-01,9,2,0,0,341.979452771468,392.5942398177834,269.3823213373286,,,,False,0.37222222222222223
45130,KHI-ISB,Economy,66,180,20,160,21018.88,14814.069359582543,2026-07-01,10,5,1,1,330.47830935640195,385.30448310442114,284.4813554911773,7432.0,29077.333333333332,0.722861335289802,True,0.1111111111111111
45131,LHE-ISB,Economy,42,180,115,65,11394.3,15096.179715825576,2026-07-01,11,2,0,1,339.0992180760514,388.8191971639795,272.0807376712107,,,,False,0.6388888888888888
45132,KHI-DXB,Economy,31,180,164,16,38903.58,44837.94581975072,2026-07-01,12,5,1,0,325.7017771962213,390.4365511074866,269.3577324777173,,,,False,0.9111111111111111
45133,KHI-ISB,Economy,17,180,122,58,8345.54,14814.069359582543,2026-07-01,13,5,1,0,326.5969142584734,382.1589787220163,274.3443793790231,7432.0,29077.333333333332,0.287011876375642,True,0.6777777777777778
45134,KHI-PEW,Economy,58,180,136,44,9929.09,14966.173412276461,2026-07-01,14,4,0,0,343.70354782454194,378.1394775297902,274.0515617960632,,,,False,0.7555555555555555
45135,LHE-ISB,Business,6,180,79,101,47649.82,42494.91089800444,2026-07-01,15,1,0,0,328.74925025998857,376.4183246155703,270.71141098426386,,,,False,0.4388888888888889
45136,KHI-DXB,Economy,24,180,68,112,48921.0,44837.94581975072,2026-07-01,16,5,1,0,335.67378572031566,382.6352141463159,272.8583486780037,,,,False,0.37777777777777777
45137,KHI-ISB,Economy,3,180,103,77,11409.77,14814.069359582543,2026-07-01,17,5,1,0,337.2276576633361,387.91774060063113,276.44184598326746,7432.0,29077.333333333332,0.3923939609317682,True,0.5722222222222222
45138,KHI-LHE,Economy,8,180,98,82,9943.68,14965.685953399905,2026-07-01,18,3,0,0,328.8851333821329,378.0638414178075,280.92153103940257,7485.0,8569.0,1.1604247870229898,True,0.5444444444444444
45139,KHI-ISB,Economy,21,180,159,21,10372.71,14814.069359582543,2026-07-01,19,2,0,0,344.61766373846825,387.7174641973741,271.38166539438714,7432.0,29077.333333333332,0.35672837949376374,True,0.8833333333333333
45140,KHI-LHE,Economy,21,180,111,69,17597.35,14965.685953399905,2026-07-01,20,2,0,0,333.49201351677,376.36203390130976,287.57422041737016,7485.0,8569.0,2.05360602170615,True,0.6166666666666667
45141,KHI-ISB,Economy,20,180,98,82,17199.97,14814.069359582543,2026-07-01,21,1,0,0,331.7656396286827,386.4743093386727,279.1303330309197,7432.0,29077.333333333332,0.5915250137564197,True,0.5444444444444444
45142,KHI-DXB,Economy,7,180,89,91,35702.56,44837.94581975072,2026-07-01,22,2,0,0,325.6621728367821,391.7798073615062,273.96704923378655,,,,False,0.49444444444444446
45143,KHI-DXB,Economy,21,180,77,103,54402.87,44837.94581975072,2026-07-01,23,2,0,0,326.9756588794182,374.98024702087525,268.6171910143645,,,,False,0.42777777777777776
45144,KHI-DXB,Economy,29,180,105,75,40406.65,44837.94581975072,2026-07-01,0,3,0,0,345.1246701539807,374.87636714167,270.1071166167313,,,,False,0.5833333333333334
