route,origin,destination,days_to_departure,flight_class,price_pkr,total_seats,booked_seats,remaining_seats
KHI-PEW,Karachi,Peshawar,3,Business,30094.56,180,80,100
LHE-ISB,Lahore,Islamabad,31,Business,31591.66,180,113,67
KHI-LHE,Karachi,Lahore,15,Business,31130.15,180,159,21
KHI-ISB,Karachi,Islamabad,50,Business,31167.36,180,113,67
KHI-LHE,Karachi,Lahore,39,Business,31944.26,180,76,104
KHI-PEW,Karachi,Peshawar,47,Business,33495.96,180,159,21
LHE-ISB,Lahore,Islamabad,40,Business,33056.37,180,138,42
KHI-PEW,Karachi,Peshawar,59,Business,32738.51,180,71,109
LHE-ISB,Lahore,Islamabad,8,Business,33141.74,180,156,24
KHI-DXB,Karachi,Dubai,21,Business,87485.05,180,142,38
LHE-ISB,Lahore,Islamabad,15,Business,34504.82,180,107,73
LHE-ISB,Lahore,Islamabad,59,Business,32930.78,180,85,95
KHI-DXB,Karachi,Dubai,26,Business,89962.68,180,97,83
KHI-DXB,Karachi,Dubai,53,Business,90434.75,180,116,64
LHE-ISB,Lahore,Islamabad,10,Business,32890.69,180,67,113
LHE-ISB,Lahore,Islamabad,8,Business,34587.5,180,69,111
KHI-DXB,Karachi,Dubai,25,Business,92729.6,180,135,45
KHI-DXB,Karachi,Dubai,21,Business,91195.11,180,106,74
KHI-LHE,Karachi,Lahore,75,Business,34466.79,180,107,73
LHE-ISB,Lahore,Islamabad,13,Business,34693.7,180,129,51
KHI-PEW,Karachi,Peshawar,19,Business,34206.32,180,102,78
KHI-LHE,Karachi,Lahore,49,Business,36674.49,180,79,101
KHI-ISB,Karachi,Islamabad,82,Business,37770.42,180,130,50
LHE-ISB,Lahore,Islamabad,23,Business,37396.15,180,139,41
KHI-LHE,Karachi,Lahore,71,Business,37200.95,180,131,49
KHI-PEW,Karachi,Peshawar,34,Business,38843.89,180,86,94
KHI-PEW,Karachi,Peshawar,28,Business,40165.63,180,84,96
KHI-LHE,Karachi,Lahore,16,Business,42763.94,180,81,99
KHI-PEW,Karachi,Peshawar,5,Business,44926.85,180,83,97
KHI-LHE,Karachi,Lahore,11,Business,43546.65,180,69,111
KHI-ISB,Karachi,Islamabad,53,Business,44579.34,180,92,88
KHI-LHE,Karachi,Lahore,72,Business,44809.96,180,102,78
KHI-ISB,Karachi,Islamabad,23,Business,42027.61,180,120,60
KHI-PEW,Karachi,Peshawar,12,Business,44915.88,180,63,117
KHI-ISB,Karachi,Islamabad,29,Business,45935.45,180,86,94
KHI-DXB,Karachi,Dubai,38,Business,119636.48,180,62,118
KHI-ISB,Karachi,Islamabad,12,Business,43998.5,180,54,126
KHI-DXB,Karachi,Dubai,0,Business,119846.1,180,92,88
LHE-ISB,Lahore,Islamabad,39,Business,47313.2,180,124,56
KHI-LHE,Karachi,Lahore,13,Business,46841.22,180,92,88
LHE-ISB,Lahore,Islamabad,65,Business,47375.7,180,84,96
KHI-PEW,Karachi,Peshawar,18,Business,46965.52,180,120,60
KHI-DXB,Karachi,Dubai,26,Business,121438.18,180,47,133
KHI-ISB,Karachi,Islamabad,58,Business,49865.26,180,82,98
LHE-ISB,Lahore,Islamabad,3,Business,47885.01,180,103,77
KHI-ISB,Karachi,Islamabad,15,Business,50091.33,180,85,95
KHI-ISB,Karachi,Islamabad,33,Business,51464.81,180,90,90
KHI-ISB,Karachi,Islamabad,31,Business,48453.17,180,108,72
LHE-ISB,Lahore,Islamabad,55,Business,50593.08,180,33,147
KHI-PEW,Karachi,Peshawar,48,Business,51244.89,180,30,150
LHE-ISB,Lahore,Islamabad,9,Business,53996.08,180,73,107
KHI-PEW,Karachi,Peshawar,15,Business,54542.08,180,20,160
LHE-ISB,Lahore,Islamabad,30,Business,54538.22,180,29,151
KHI-ISB,Karachi,Islamabad,36,Business,54191.68,180,65,115
LHE-ISB,Lahore,Islamabad,25,Business,55623.01,180,99,81
KHI-ISB,Karachi,Islamabad,46,Business,55147.33,180,32,148
KHI-LHE,Karachi,Lahore,13,Business,57377.44,180,75,105
KHI-DXB,Karachi,Dubai,55,Business,144297.59,180,20,160
KHI-PEW,Karachi,Peshawar,9,Business,59483.0,180,83,97
KHI-ISB,Karachi,Islamabad,55,Business,60306.01,180,62,118
KHI-ISB,Karachi,Islamabad,4,Business,60232.59,180,20,160
LHE-ISB,Lahore,Islamabad,47,Business,60481.2,180,78,102
KHI-ISB,Karachi,Islamabad,39,Business,61149.98,180,20,160
KHI-PEW,Karachi,Peshawar,19,Business,60751.05,180,80,100
KHI-PEW,Karachi,Peshawar,16,Business,58493.4,180,38,142
KHI-DXB,Karachi,Dubai,39,Business,147166.83,180,20,160
LHE-ISB,Lahore,Islamabad,63,Business,60424.98,180,60,120
LHE-ISB,Lahore,Islamabad,31,Business,60719.87,180,84,96
KHI-ISB,Karachi,Islamabad,15,Business,60935.7,180,20,160
KHI-PEW,Karachi,Peshawar,1,Business,59390.2,180,82,98
KHI-LHE,Karachi,Lahore,36,Business,57844.26,180,71,109
KHI-ISB,Karachi,Islamabad,6,Business,60755.85,180,50,130
KHI-ISB,Karachi,Islamabad,8,Business,24858.5,180,106,74
KHI-ISB,Karachi,Islamabad,5,Business,26798.17,180,108,72
KHI-DXB,Karachi,Dubai,13,Business,72334.14,180,88,92
KHI-DXB,Karachi,Dubai,16,Business,70324.95,180,134,46
LHE-ISB,Lahore,Islamabad,47,Business,25108.58,180,137,43
KHI-LHE,Karachi,Lahore,8,Business,27161.19,180,172,8
KHI-LHE,Karachi,Lahore,22,Business,26165.11,180,141,39
KHI-DXB,Karachi,Dubai,69,Business,77660.51,180,109,71
KHI-ISB,Karachi,Islamabad,46,Business,27903.35,180,136,44
KHI-DXB,Karachi,Dubai,75,Business,77305.2,180,148,32
KHI-ISB,Karachi,Islamabad,44,Business,27421.19,180,157,23
KHI-PEW,Karachi,Peshawar,73,Business,28460.58,180,94,86
LHE-ISB,Lahore,Islamabad,71,Business,27610.32,180,98,82
LHE-ISB,Lahore,Islamabad,31,Business,28760.04,180,127,53
KHI-ISB,Karachi,Islamabad,71,Business,29305.96,180,169,11
LHE-ISB,Lahore,Islamabad,32,Business,29615.26,180,106,74
KHI-DXB,Karachi,Dubai,29,Business,80114.52,180,91,89
LHE-ISB,Lahore,Islamabad,25,Business,28954.17,180,149,31
KHI-PEW,Karachi,Peshawar,73,Business,27649.88,180,96,84
KHI-LHE,Karachi,Lahore,16,Business,29108.95,180,98,82
KHI-PEW,Karachi,Peshawar,81,Business,29328.66,180,143,37
LHE-ISB,Lahore,Islamabad,6,Business,29343.77,180,128,52
KHI-LHE,Karachi,Lahore,5,Business,30352.1,180,135,45
KHI-DXB,Karachi,Dubai,40,Business,83632.55,180,164,16
KHI-LHE,Karachi,Lahore,7,Business,31169.78,180,150,30
KHI-PEW,Karachi,Peshawar,68,Business,32335.44,180,141,39
LHE-ISB,Lahore,Islamabad,15,Business,30804.2,180,77,103
KHI-PEW,Karachi,Peshawar,40,Business,30726.83,180,146,34
KHI-ISB,Karachi,Islamabad,52,Business,31331.53,180,148,32
KHI-ISB,Karachi,Islamabad,52,Business,30129.88,180,151,29
LHE-ISB,Lahore,Islamabad,16,Business,31323.62,180,111,69
KHI-ISB,Karachi,Islamabad,28,Business,29721.04,180,117,63
KHI-ISB,Karachi,Islamabad,41,Business,30346.13,180,161,19
KHI-LHE,Karachi,Lahore,2,Business,31652.11,180,156,24
KHI-LHE,Karachi,Lahore,9,Business,31542.26,180,106,74
KHI-DXB,Karachi,Dubai,28,Business,83606.95,180,86,94
KHI-DXB,Karachi,Dubai,58,Business,85815.77,180,105,75
KHI-DXB,Karachi,Dubai,13,Business,90829.89,180,156,24
LHE-ISB,Lahore,Islamabad,10,Business,32288.8,180,153,27
KHI-PEW,Karachi,Peshawar,1,Business,31723.51,180,129,51
KHI-PEW,Karachi,Peshawar,82,Business,33163.25,180,139,41
KHI-DXB,Karachi,Dubai,49,Business,87426.69,180,104,76
KHI-PEW,Karachi,Peshawar,17,Business,34755.74,180,140,40
LHE-ISB,Lahore,Islamabad,52,Business,33605.71,180,98,82
KHI-PEW,Karachi,Peshawar,1,Business,33186.18,180,78,102
KHI-LHE,Karachi,Lahore,53,Business,34173.95,180,132,48
KHI-LHE,Karachi,Lahore,18,Business,34255.23,180,83,97
KHI-ISB,Karachi,Islamabad,51,Business,37697.98,180,85,95
KHI-LHE,Karachi,Lahore,20,Business,38035.22,180,142,38
KHI-DXB,Karachi,Dubai,45,Business,95596.22,180,123,57
KHI-PEW,Karachi,Peshawar,70,Business,37671.76,180,124,56
KHI-DXB,Karachi,Dubai,6,Business,104174.87,180,126,54
KHI-DXB,Karachi,Dubai,41,Business,97200.42,180,119,61
KHI-LHE,Karachi,Lahore,33,Business,37333.27,180,127,53
KHI-PEW,Karachi,Peshawar,34,Business,38734.58,180,100,80
KHI-DXB,Karachi,Dubai,47,Business,98438.76,180,64,116
KHI-ISB,Karachi,Islamabad,13,Business,38319.78,180,139,41
KHI-ISB,Karachi,Islamabad,16,Business,38590.73,180,129,51
KHI-PEW,Karachi,Peshawar,21,Business,37826.94,180,142,38
KHI-LHE,Karachi,Lahore,58,Business,38426.95,180,138,42
KHI-PEW,Karachi,Peshawar,36,Business,39917.81,180,122,58
KHI-LHE,Karachi,Lahore,13,Business,38733.16,180,107,73
KHI-DXB,Karachi,Dubai,61,Business,103754.04,180,58,122
KHI-DXB,Karachi,Dubai,32,Business,104747.62,180,133,47
LHE-ISB,Lahore,Islamabad,75,Business,39099.66,180,59,121
KHI-PEW,Karachi,Peshawar,28,Business,40934.82,180,80,100
KHI-ISB,Karachi,Islamabad,81,Business,42707.99,180,111,69
LHE-ISB,Lahore,Islamabad,6,Business,43081.18,180,46,134
KHI-ISB,Karachi,Islamabad,5,Business,43483.76,180,52,128
KHI-LHE,Karachi,Lahore,7,Business,42536.43,180,107,73
KHI-LHE,Karachi,Lahore,48,Business,42157.38,180,59,121
KHI-PEW,Karachi,Peshawar,11,Business,44065.82,180,110,70
KHI-PEW,Karachi,Peshawar,54,Business,44182.4,180,117,63
KHI-ISB,Karachi,Islamabad,23,Business,42022.75,180,55,125
KHI-ISB,Karachi,Islamabad,26,Business,41559.33,180,65,115
KHI-LHE,Karachi,Lahore,12,Business,43628.07,180,77,103
KHI-PEW,Karachi,Peshawar,5,Business,41965.84,180,101,79
KHI-DXB,Karachi,Dubai,22,Business,111017.48,180,95,85
KHI-DXB,Karachi,Dubai,7,Business,110996.84,180,56,124
KHI-PEW,Karachi,Peshawar,11,Business,42376.66,180,104,76
LHE-ISB,Lahore,Islamabad,4,Business,41429.09,180,73,107
KHI-LHE,Karachi,Lahore,36,Business,45580.57,180,59,121
KHI-PEW,Karachi,Peshawar,2,Business,48829.91,180,30,150
KHI-LHE,Karachi,Lahore,20,Business,50767.43,180,33,147
KHI-PEW,Karachi,Peshawar,18,Business,51221.73,180,28,152
LHE-ISB,Lahore,Islamabad,13,Business,51621.85,180,107,73
KHI-LHE,Karachi,Lahore,29,Business,50611.85,180,108,72
KHI-PEW,Karachi,Peshawar,32,Business,48247.74,180,69,111
KHI-ISB,Karachi,Islamabad,12,Business,51045.22,180,60,120
KHI-LHE,Karachi,Lahore,19,Business,51794.26,180,68,112
KHI-LHE,Karachi,Lahore,5,Business,51637.83,180,27,153
KHI-DXB,Karachi,Dubai,19,Business,134928.76,180,37,143
KHI-DXB,Karachi,Dubai,24,Business,130637.44,180,30,150
KHI-PEW,Karachi,Peshawar,57,Business,53889.23,180,61,119
KHI-PEW,Karachi,Peshawar,17,Business,55257.61,180,44,136
LHE-ISB,Lahore,Islamabad,25,Business,56985.81,180,51,129
KHI-ISB,Karachi,Islamabad,39,Business,57208.46,180,30,150
KHI-LHE,Karachi,Lahore,33,Business,59512.9,180,85,95
KHI-DXB,Karachi,Dubai,28,Business,150957.83,180,20,160
LHE-ISB,Lahore,Islamabad,12,Business,59116.32,180,44,136
LHE-ISB,Lahore,Islamabad,50,Business,58098.97,180,20,160
KHI-LHE,Karachi,Lahore,10,Business,57402.6,180,38,142
LHE-ISB,Lahore,Islamabad,16,Business,60416.28,180,32,148
LHE-ISB,Lahore,Islamabad,39,Business,60401.61,180,20,160
KHI-PEW,Karachi,Peshawar,17,Business,60667.23,180,28,152
KHI-PEW,Karachi,Peshawar,40,Business,25085.71,180,175,5
KHI-DXB,Karachi,Dubai,38,Business,69896.96,180,89,91
KHI-PEW,Karachi,Peshawar,42,Business,26677.26,180,165,15
KHI-LHE,Karachi,Lahore,39,Business,26338.49,180,164,16
LHE-ISB,Lahore,Islamabad,4,Business,24890.33,180,104,76
KHI-DXB,Karachi,Dubai,2,Business,71896.67,180,108,72
KHI-LHE,Karachi,Lahore,57,Business,25317.13,180,112,68
KHI-LHE,Karachi,Lahore,24,Business,26662.52,180,88,92
KHI-DXB,Karachi,Dubai,29,Business,73864.2,180,169,11
KHI-DXB,Karachi,Dubai,4,Business,72354.48,180,109,71
KHI-DXB,Karachi,Dubai,5,Business,73905.7,180,127,53
LHE-ISB,Lahore,Islamabad,4,Business,26521.29,180,157,23
KHI-LHE,Karachi,Lahore,14,Business,26693.86,180,173,7
KHI-ISB,Karachi,Islamabad,10,Business,26929.11,180,113,67
KHI-PEW,Karachi,Peshawar,53,Business,27730.09,180,125,55
KHI-LHE,Karachi,Lahore,58,Business,28466.19,180,140,40
LHE-ISB,Lahore,Islamabad,41,Business,28031.88,180,96,84
KHI-DXB,Karachi,Dubai,63,Business,76517.38,180,164,16
KHI-PEW,Karachi,Peshawar,32,Business,27724.45,180,102,78
LHE-ISB,Lahore,Islamabad,16,Business,28025.09,180,127,53
KHI-LHE,Karachi,Lahore,16,Business,28628.3,180,121,59
KHI-PEW,Karachi,Peshawar,50,Business,29567.79,180,163,17
KHI-LHE,Karachi,Lahore,4,Business,29033.03,180,111,69
KHI-LHE,Karachi,Lahore,33,Business,27636.93,180,110,70
KHI-ISB,Karachi,Islamabad,10,Business,28800.18,180,110,70
KHI-PEW,Karachi,Peshawar,4,Business,28041.86,180,128,52
KHI-LHE,Karachi,Lahore,12,Business,28939.58,180,109,71
KHI-DXB,Karachi,Dubai,24,Business,76847.14,180,101,79
LHE-ISB,Lahore,Islamabad,32,Business,28370.6,180,83,97
KHI-PEW,Karachi,Peshawar,16,Business,27913.59,180,139,41
KHI-DXB,Karachi,Dubai,26,Business,83702.75,180,129,51
LHE-ISB,Lahore,Islamabad,62,Business,30005.8,180,96,84
LHE-ISB,Lahore,Islamabad,10,Business,29545.95,180,103,77
KHI-LHE,Karachi,Lahore,35,Business,31974.21,180,87,93
KHI-ISB,Karachi,Islamabad,11,Business,30541.84,180,126,54
KHI-LHE,Karachi,Lahore,11,Business,31052.95,180,131,49
KHI-PEW,Karachi,Peshawar,24,Business,31389.4,180,163,17
KHI-LHE,Karachi,Lahore,11,Business,31269.97,180,116,64
LHE-ISB,Lahore,Islamabad,20,Business,31617.43,180,163,17
KHI-PEW,Karachi,Peshawar,7,Business,31212.99,180,103,77
KHI-LHE,Karachi,Lahore,12,Business,32209.49,180,96,84
LHE-ISB,Lahore,Islamabad,24,Business,31321.45,180,87,93
KHI-ISB,Karachi,Islamabad,16,Business,30187.38,180,118,62
LHE-ISB,Lahore,Islamabad,16,Business,31608.63,180,86,94
KHI-DXB,Karachi,Dubai,13,Business,82586.83,180,126,54
KHI-LHE,Karachi,Lahore,25,Business,30391.64,180,85,95
KHI-PEW,Karachi,Peshawar,83,Business,30732.25,180,127,53
KHI-ISB,Karachi,Islamabad,20,Business,30358.45,180,155,25
LHE-ISB,Lahore,Islamabad,48,Business,31500.38,180,84,96
KHI-DXB,Karachi,Dubai,19,Business,91768.51,180,156,24
KHI-PEW,Karachi,Peshawar,18,Business,33132.82,180,121,59
KHI-PEW,Karachi,Peshawar,52,Business,34348.2,180,90,90
KHI-DXB,Karachi,Dubai,14,Business,87297.3,180,86,94
KHI-PEW,Karachi,Peshawar,38,Business,33964.67,180,76,104
KHI-LHE,Karachi,Lahore,13,Business,32897.26,180,132,48
KHI-LHE,Karachi,Lahore,88,Business,33529.21,180,136,44
KHI-PEW,Karachi,Peshawar,25,Business,35949.43,180,99,81
KHI-DXB,Karachi,Dubai,9,Business,95658.06,180,145,35
KHI-ISB,Karachi,Islamabad,25,Business,36685.63,180,124,56
KHI-DXB,Karachi,Dubai,45,Business,100059.51,180,118,62
KHI-LHE,Karachi,Lahore,44,Business,39591.6,180,58,122
KHI-ISB,Karachi,Islamabad,29,Business,39943.32,180,140,40
LHE-ISB,Lahore,Islamabad,17,Business,39683.18,180,126,54
KHI-DXB,Karachi,Dubai,6,Business,103855.64,180,56,124
LHE-ISB,Lahore,Islamabad,6,Business,37867.95,180,62,118
KHI-DXB,Karachi,Dubai,58,Business,98579.83,180,58,122
LHE-ISB,Lahore,Islamabad,6,Business,38264.84,180,54,126
KHI-DXB,Karachi,Dubai,49,Business,109747.73,180,96,84
KHI-DXB,Karachi,Dubai,18,Business,108751.69,180,100,80
KHI-PEW,Karachi,Peshawar,6,Business,41242.71,180,127,53
KHI-DXB,Karachi,Dubai,5,Business,106566.93,180,105,75
KHI-LHE,Karachi,Lahore,60,Business,40754.68,180,53,127
KHI-LHE,Karachi,Lahore,4,Business,41078.28,180,115,65
LHE-ISB,Lahore,Islamabad,26,Business,41870.3,180,90,90
KHI-LHE,Karachi,Lahore,28,Business,41538.77,180,135,45
LHE-ISB,Lahore,Islamabad,19,Business,43826.04,180,104,76
KHI-LHE,Karachi,Lahore,16,Business,43492.14,180,57,123
KHI-PEW,Karachi,Peshawar,32,Business,41697.4,180,123,57
KHI-LHE,Karachi,Lahore,26,Business,44085.61,180,122,58
LHE-ISB,Lahore,Islamabad,34,Business,42101.05,180,132,48
LHE-ISB,Lahore,Islamabad,3,Business,44028.77,180,89,91
KHI-LHE,Karachi,Lahore,31,Business,43446.89,180,115,65
KHI-DXB,Karachi,Dubai,45,Business,112784.63,180,58,122
KHI-ISB,Karachi,Islamabad,47,Business,43873.7,180,59,121
